"","names","pts","ast","reb","wins","total_games","win_pct","year"
"149","Grant Williams",8.2,1.5,4.4,8,10,0.8,2023
"150","Grayson Allen",10.8181818181818,2.72727272727273,2.81818181818182,10,11,0.909090909090909,2023
"151","Greg Brown III",2.5,0,0.25,2,4,0.5,2023
"152","Hamidou Diallo",5.08333333333333,0.666666666666667,3.16666666666667,3,12,0.25,2023
"153","Harrison Barnes",10.9,2,5.7,4,10,0.4,2023
"154","Haywood Highsmith",0.4,0,0.8,1,5,0.2,2023
"155","Herbert Jones",11.1428571428571,2.14285714285714,3.71428571428571,4,7,0.571428571428571,2023
"156","Immanuel Quickley",7.45454545454545,3.27272727272727,5.27272727272727,5,11,0.454545454545455,2023
"157","Isaac Okoro",2,0.363636363636364,1.36363636363636,8,11,0.727272727272727,2023
"158","Isaiah Hartenstein",7.45454545454545,1,8.09090909090909,5,11,0.454545454545455,2023
"159","Isaiah Jackson",8.45454545454546,1.27272727272727,5.45454545454545,5,11,0.454545454545455,2023
"160","Isaiah Joe",3.5,0.625,0.75,4,8,0.5,2023
"161","Isaiah Livers",5.6,0.5,2.4,2,10,0.2,2023
"162","Isaiah Mobley",3,0,1,1,1,1,2023
"163","Isaiah Roby",3.14285714285714,1.28571428571429,2.28571428571429,3,7,0.428571428571429,2023
"164","Isaiah Stewart",12.5,1.16666666666667,9.91666666666667,3,12,0.25,2023
"165","Isaiah Todd",0.666666666666667,0,0,1,3,0.333333333333333,2023
"166","Ish Smith",0.8,0.4,0.4,2,5,0.4,2023
"167","Ivica Zubac",10.1666666666667,1.41666666666667,10.8333333333333,7,12,0.583333333333333,2023
"168","Ja Morant",28.8181818181818,6.90909090909091,5.63636363636364,8,11,0.727272727272727,2023
"169","Jabari Smith Jr.",10.4545454545455,0.727272727272727,6,2,11,0.181818181818182,2023
"170","Jabari Walker",2.33333333333333,1.16666666666667,2.33333333333333,4,6,0.666666666666667,2023
"171","Jack White",0,0,0.5,2,2,1,2023
"172","Jaden Hardy",0,0.5,1,1,2,0.5,2023
"173","Jaden Ivey",15.3636363636364,3.81818181818182,5.36363636363636,3,11,0.272727272727273,2023
"174","Jaden McDaniels",11.0833333333333,1.33333333333333,3.41666666666667,5,12,0.416666666666667,2023
"175","Jaden Springer",2.5,0,1,2,2,1,2023
"176","Jae'Sean Tate",8.33333333333333,3.33333333333333,4.33333333333333,0,3,0,2023
"177","Jake LaRavia",6.44444444444444,0.444444444444444,3.66666666666667,7,9,0.777777777777778,2023
"178","Jakob Poeltl",12.4166666666667,3.83333333333333,9.75,5,12,0.416666666666667,2023
"179","Jalen Brunson",19.1818181818182,6.81818181818182,4,5,11,0.454545454545455,2023
"180","Jalen Duren",7.66666666666667,0.333333333333333,6.77777777777778,3,9,0.333333333333333,2023
"181","Jalen Green",20.8333333333333,2.58333333333333,4.16666666666667,2,12,0.166666666666667,2023
"182","Jalen Johnson",4.45454545454545,0.818181818181818,3.54545454545455,7,11,0.636363636363636,2023
"183","Jalen McDaniels",9.41666666666667,2.16666666666667,5.25,3,12,0.25,2023
"184","Jalen Smith",10.5454545454545,1,7.81818181818182,5,11,0.454545454545455,2023
"185","Jalen Suggs",12.5714285714286,4.85714285714286,2.71428571428571,2,7,0.285714285714286,2023
"186","Jalen Williams",7.42857142857143,1.57142857142857,2.28571428571429,2,7,0.285714285714286,2023
"187","Jamal Murray",15.7,4,3.6,7,10,0.7,2023
"188","James Bouknight",6.5,1.75,2.58333333333333,3,12,0.25,2023
"189","James Harden",22,10,7,4,9,0.444444444444444,2023
"190","James Johnson",3.66666666666667,1.33333333333333,2.33333333333333,1,3,0.333333333333333,2023
"191","James Wiseman",7.3,0.9,4,3,10,0.3,2023
"192","JaMychal Green",4.6,0.6,4.7,3,10,0.3,2023
"193","Jarred Vanderbilt",8.72727272727273,2.81818181818182,8.09090909090909,8,11,0.727272727272727,2023
"194","Jarrett Allen",14.0909090909091,1.18181818181818,11.7272727272727,8,11,0.727272727272727,2023
"195","Jarrett Culver",1,0,1,1,1,1,2023
"196","Jason Preston",0,0,0,0,1,0,2023
"197","JaVale McGee",4.33333333333333,0.222222222222222,3,6,9,0.666666666666667,2023
"198","Javonte Green",6.46153846153846,1,3.38461538461538,6,13,0.461538461538462,2023
"199","Jaxson Hayes",0.4,0.6,1,2,5,0.4,2023
"200","Jaylen Brown",25.3636363636364,2.81818181818182,6.72727272727273,8,11,0.727272727272727,2023
"201","Jaylen Nowell",11.75,2.41666666666667,3.16666666666667,5,12,0.416666666666667,2023
"202","Jaylin Williams",3,1,3.5,0,2,0,2023
"203","Jayson Tatum",31.1818181818182,4.09090909090909,6.90909090909091,8,11,0.727272727272727,2023
"204","Jeff Dowtin Jr.",2,1,0.5,2,2,1,2023
"205","Jeff Green",8,1.09090909090909,2.90909090909091,8,11,0.727272727272727,2023
"206","Jerami Grant",18.4,2.6,4.2,7,10,0.7,2023
"207","Jeremiah Robinson-Earl",7.54545454545455,0.818181818181818,3.63636363636364,4,11,0.363636363636364,2023
"208","Jeremy Sochan",6.90909090909091,1.54545454545455,3.45454545454545,4,11,0.363636363636364,2023
