,player_name,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact,pts,ast,reb,wins,total_games,win_pct,year
118,Moses Brown,2022,RS,CLE,367,176,-1.0446418288573929,-3.7942069310158235,-4.838848759873216,-5.047373741550333,-4.617798934058128,-9.665172675608463,-1.934531699297331,-4.240789075608307,-6.175320774905638,-0.3095071193395599,-0.3095071193395599,0.0,-2.2497421090393845,-2.64314570661317,-4.892887815652554,0.6274228573128949,3.0,0.0,1.6666666666666698,2.0,6.0,0.33333333333333304,2023.0
119,Moses Brown,2022,RS,DAL,360,169,-5.7724913265239985,1.544984753536559,-4.2275065729874415,-7.535562551963128,5.678595441632644,-1.8569671103304841,-6.522918012806879,2.430868314078356,-4.092049698728522,-0.1168465277925645,-0.1168465277925645,0.0,-5.6183634312845765,2.073937862547715,-3.544425568736862,0.9764676551653132,3.0,0.0,1.6666666666666698,2.0,6.0,0.33333333333333304,2023.0
123,Troy Brown Jr.,2022,RS,CHI,2222,1055,-1.5052878915298442,0.1795731656124078,-1.325714725917436,-0.6768508898667597,-1.719990441315338,-2.396841331182098,-1.415023160060426,-0.1782262329587048,-1.5932493930191298,0.6199898787838389,0.6199898787838389,0.0,-1.505996294941821,-0.464563283032711,-1.970559577974532,-0.4246373764161137,10.3333333333333,0.8888888888888891,5.44444444444444,2.0,9.0,0.222222222222222,2023.0
125,Jalen Brunson,2022,RS,DAL,5031,2524,1.9852432467018182,-0.3474050010336751,1.637838245668143,3.1393524892475284,-1.2877758312211598,1.8515766580263693,2.33145862343791,-0.5844439214558517,1.7470147019820579,5.698372528382348,5.698372528382348,0.0,2.105789504786171,-0.1551265157456197,1.9506629890405518,-1.5996772912212007,19.181818181818198,6.81818181818182,4.0,5.0,11.0,0.45454545454545503,2023.0
129,Reggie Bullock,2022,RS,DAL,3813,1902,-1.141172535594428,-0.6489374932369506,-1.7901100288313792,2.712864868640402,3.3431920963679866,6.056056965008388,-0.4216026995182522,0.1238820770641134,-0.2977206224541389,2.369458924748812,2.369458924748812,0.0,-0.4493531602897743,0.3178339312056652,-0.1315192290841091,-0.4300663310347022,4.8,0.9,2.8,6.0,10.0,0.6,2023.0
136,Jimmy Butler,2022,RS,MIA,3882,1931,3.825321506601588,0.7430312342454706,4.568352740847058,0.4523316640682216,0.7228102330593469,1.1751418971275678,3.3345518934573835,0.7622839606388723,4.096835854096256,6.701067792813759,6.701067792813759,0.0,2.9396638887787403,1.112962473047451,4.052626361826191,-0.6583692986401822,20.888888888888896,5.66666666666667,6.111111111111111,3.0,9.0,0.33333333333333304,2023.0
138,Kentavious Caldwell-Pope,2022,RS,WAS,4817,2329,-0.8167601794523622,0.2086903646329728,-0.6080698148193894,-1.491687619412879,-1.5420579233593716,-3.0337455427722513,-0.9904118254609776,-0.1190249801415398,-1.1094368056025172,1.955177918607547,1.955177918607547,0.0,-0.9320385591223156,-0.015196044216011001,-0.9472346033383268,0.2959540043955976,11.7,2.9,4.0,7.0,10.0,0.7,2023.0
140,Facundo Campazzo,2022,RS,DEN,2451,1184,-0.6097420437439881,1.9003549154133261,1.290612871669338,-8.789523642831455,-0.1710824426106564,-8.960606085442114,-2.362521197133562,1.5804952879122567,-0.7820259092213049,1.187205769968698,1.187205769968698,0.0,-1.802435989317221,1.1843101374055358,-0.6181258519116851,-0.1347373111846765,1.5,1.5,0.0,1.0,2.0,0.5,2023.0
142,Vlatko Cancar,2022,RS,DEN,386,176,-2.438998874158599,-0.7966362066365291,-3.2356350807951277,-3.902287733370827,3.316636499250571,-0.585651234120256,-2.8852970098546113,0.0174734228208134,-2.867823587033798,-0.010643326693124,-0.010643326693124,0.0,-3.0766004274136716,-2.278214207127605,-5.354814634541276,0.5986388773459203,0.75,0.0,0.5,3.0,4.0,0.75,2023.0
145,Clint Capela,2022,RS,ATL,4264,2042,-0.1031290769002924,2.652081659622447,2.548952582722155,4.08538046467958,-1.3558237377219022,2.729556726957678,0.7185382665743231,2.021384332398364,2.739922598972687,5.693425073683097,5.693425073683097,0.0,0.578851369532948,2.138474572835688,2.7173259423686353,-0.4569051865390192,9.81818181818182,0.7272727272727271,11.0,7.0,11.0,0.6363636363636359,2023.0
146,Vernon Carey Jr.,2022,RS,CHA,38,17,-5.4090512974397775,2.9388537173377345,-2.470197580102044,-12.155994711775891,-23.640503366907268,-35.79649807868316,-7.183563949279409,-2.381803675398745,-9.565367624678156,-0.0601015553267326,-0.0601015553267326,0.0,-6.280105376806658,-3.11979268070418,-9.399898057510836,1.6733781814859152,0.0,0.0,0.0,0.0,1.0,0.0,2023.0
